"Story","Title","Result","Date","Stability","Duration (s)"
"Comprar suscripción desde CloudPay con dLocal","Comprar suscripción mediante CloudPay con dlocal","ERROR","2021-11-03T17:27:05.7153673-05:00[America/Bogota]","0.0","116.42"
"Comprar suscripción desde CloudPay con dLocal","Cancelar suscripción mediante CloudPay","ERROR","2021-11-03T17:29:02.2021221-05:00[America/Bogota]","0.0","56.02"
